Designator,Mid X,Mid Y,Rotation,Layer
U3,81.375,-128.8,90.0,top
R6,77.31,-115.0,180.0,top
R2,68.19,-146.0,0.0,top
R4,68.19,-142.5,0.0,top
U1,79.125,-153.3,90.0,top
C4,83.75,-116.0,180.0,top
R5,68.19,-135.5,0.0,top
K2,78.2503,-165.4977,0.0,top
C1,91.0,-118.0,0.0,top
K3,64.5625,-135.5,-90.0,top
U2,81.375,-139.3,90.0,top
R1,68.19,-149.5,0.0,top
D1,68.19,-153.0,0.0,top
R3,68.19,-139.0,0.0,top
C2,81.5,-109.5,0.0,top
C3,88.75,-142.5,0.0,top
J1,95.325,-108.25,-90.0,top
K1,78.2503,-165.4977,0.0,top
Y1,76.0,-128.95,90.0,top
SW1,65.25,-108.0,180.0,bottom
SW2,70.5925,-112.15,0.0,bottom
